product_id,brand,product_name,image_url,selling_price,mrp_price,discount_percent,rating,comment_count,listing_type,source_page
29494070,HRX by Hrithik Roshan,Men Pack Of 5 Ankle Socks,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29494070/2024/8/28/4945638c-5ffc-4b8e-b8c1-a96a61c7e8651724845060651-HRX-by-Hrithik-Roshan-Men-Pack-Of-5-Ankle-Length-Socks-62617-1.jpg",Rs. 388,Rs. 1499,(74% OFF),4.5,8.4k,Advertisement,brand
23532226,HRX by Hrithik Roshan,Pack of 3 Ankle Sports Socks,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/26/pWGyhJV2_4035fa20f53e46539b8a5cd87d72dbe6.jpg",Rs. 269,Rs. 1099,(76% OFF),4.5,5.7k,Advertisement,brand
29553912,HRX by Hrithik Roshan,Unisex Back To School Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29553912/2024/5/17/5f90bc0f-c248-4bff-8a88-54128a77c4a61715927218769HRXbyHrithikRoshanUnisexTexturedSneakers1.jpg",Rs. 3699,,,4.2,2.2k,Organic,brand
36064821,HRX by Hrithik Roshan,Unisex Printed Sliders,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/29/HSWzvrWL_7d4e05fc6b6d4e5bb5b37ecd8b0162ad.jpg",Rs. 613,Rs. 2399,(74% OFF),4.1,46,Organic,brand
29049016,HRX by Hrithik Roshan,Men Pack Of 3 Shoe Liners,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29049016/2024/8/28/3df31e41-0877-4d94-92e9-d7cd088484ee1724845024630-HRX-by-Hrithik-Roshan-Men-Pack-Of-3-Cotton-Shoe-Liners-22217-1.jpg",Rs. 298,Rs. 749,(60% OFF),4.5,580,Advertisement,brand
24031396,HRX by Hrithik Roshan,Women Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24031396/2023/7/15/1e2fc064-de69-4926-a5a5-4e9f1df7a3ec1689363715334SportsShoes1.jpg",Rs. 998,Rs. 2999,(67% OFF),4.3,15.6k,Organic,brand
37731458,HRX by Hrithik Roshan,Men 5Pcs Ankle Length Socks,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/2/th6ebKxh_9c45c50d99b74a5a8e6e3ffed723475f.jpg",Rs. 384,Rs. 1299,(70% OFF),4.6,978,Organic,brand
13346202,HRX by Hrithik Roshan,Women Rapid-Dry Yoga Tights,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13346202/2021/2/4/0778c5ec-fe74-4128-9222-1d0b9db7b61f1612422609212-HRX-Active-by-Hrithik-Roshan-Black-Solid-RAPID-DRY-Training--4.jpg",Rs. 677,Rs. 1799,(62% OFF),4.1,3.4k,Advertisement,brand
32085906,HRX by Hrithik Roshan,Unisex Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32085906/2024/12/25/c61e92aa-9d16-4fd7-8cad-c100cf3560351735143905559UnisexComfortableRunningShoes1.jpg",Rs. 1116,Rs. 2999,(63% OFF),4.3,3.2k,Organic,brand
23222106,HRX by Hrithik Roshan,Men Woven Design Sports Sandal,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23222106/2023/11/10/1e2ac143-dbbc-4b7d-88a3-cd9e850aeb101699608548154-HRX-by-Hrithik-Roshan-Men-Woven-Design-Sports-Sandal-7216996-11.jpg",Rs. 1099,Rs. 2499,(56% OFF),4.4,1.2k,Organic,brand
11245464,HRX by Hrithik Roshan,Women Training Seamless Tights,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11245464/2020/6/10/832a1e2b-fa32-4994-ab3b-cd845e62d4641591769996190-HRX-by-Hrithik-Roshan-Women-Tights-3611591769994841-4.jpg",Rs. 640,Rs. 1699,(62% OFF),4.2,3k,Advertisement,brand
2311895,HRX by Hrithik Roshan,Men Square Sunglasses,,Rs. 1220,Rs. 3299,(63% OFF),4.2,1k,Organic,brand
33673053,HRX by Hrithik Roshan,Rapid-Dry Running Tracksuit,,Rs. 569,Rs. 3799,(85% OFF),3.7,71,Organic,brand
11387878,HRX by Hrithik Roshan,Women Yoga Seamless Tights,,Rs. 668,Rs. 1299,(49% OFF),4.2,4k,Advertisement,brand
32085910,HRX by Hrithik Roshan,Unisex Running Shoes,,Rs. 1116,Rs. 2999,(63% OFF),4.3,3.1k,Organic,brand
39416126,HRX by Hrithik Roshan,Men Printed Cotton Boxer,,Rs. 598,Rs. 1999,(70% OFF),,,Organic,brand
23132988,HRX by Hrithik Roshan,Seamless Yoga Tights,,Rs. 690,Rs. 1699,(59% OFF),4.2,1.4k,Advertisement,brand
38963837,HRX by Hrithik Roshan,Round Neck Swim Set Swimwear,,Rs. 1199,Rs. 2999,(60% OFF),,,Organic,brand
28297410,HRX by Hrithik Roshan,Rapid-Dry Sports Tracksuit,,Rs. 1692,Rs. 4799,(65% OFF),4,1.3k,Organic,brand
23768192,HRX by Hrithik Roshan,Antimicrobial Tights,,Rs. 668,Rs. 1499,(55% OFF),4.1,1.6k,Advertisement,brand
26759684,HRX by Hrithik Roshan,Unisex Sports Sunglasses,,Rs. 849,Rs. 2499,66% OFF,,,Organic,brand
31229592,HRX by Hrithik Roshan,Typography Printed Co-Ords,,Rs. 1143,Rs. 1899,(40% OFF),4.2,1.6k,Organic,brand
12790376,HRX by Hrithik Roshan,Women Running Cropped Tights,,Rs. 713,Rs. 1799,(60% OFF),4.3,613,Advertisement,brand
28297408,HRX by Hrithik Roshan,Rapid-Dry Sports Tracksuit,,Rs. 1596,Rs. 4299,(63% OFF),3.8,1.4k,Organic,brand
34464326,HRX by Hrithik Roshan,Men Active Running Shoes,,Rs. 1599,Rs. 6950,(77% OFF),4.1,1.5k,Organic,brand
13346042,HRX by Hrithik Roshan,Women Rapid-Dry Yoga Tights,,Rs. 677,Rs. 1799,(62% OFF),4.1,3.4k,Advertisement,brand
2311896,HRX by Hrithik Roshan,Men Square Sunglasses,,Rs. 1220,Rs. 3299,(63% OFF),4.2,1.1k,Organic,brand
33796859,HRX by Hrithik Roshan,Rapid-Dry Training Tights,,Rs. 935,Rs. 1799,(48% OFF),4,31,Organic,brand
23691140,HRX by Hrithik Roshan,Seamless Yoga Tights,,Rs. 708,Rs. 1699,(58% OFF),3.9,2.6k,Advertisement,brand
32093861,HRX by Hrithik Roshan,HRX-235 03 Mesh Running Shoes,,Rs. 1107,Rs. 3999,(72% OFF),4.1,1.9k,Organic,brand
