product_id,brand,product_name,image_url,selling_price,mrp_price,discount_percent,rating,comment_count,listing_type,source_page
9263091,Levis,Men Neo Briefs,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/9263091/2022/9/15/b8d0ef44-9fae-40db-a20d-cf1551bb93ad1663221572330LevisMenBlackSolidPureCottonBriefsBF-100CA-1PK-STYLE-009-351.jpg",Rs. 176,Rs. 249,(29% OFF),4.2,26.4k,Organic,brand
12027436,Levis,Solid Lounge T-shirt,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/12027436/2022/9/15/ea90445c-a37b-43ac-948b-8e291ec78dc31663221311972LevisMenWhiteSolidRoundNeckLoungeT-shirt1.jpg",Rs. 460,Rs. 649,(29% OFF),4.4,18.5k,Organic,brand
30241421,Levis,Men Ribbed Thermal Set,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2024/JULY/17/RKf3P04L_f8812cf2df0a493bafef2a83b06625b3.jpg",Rs. 1618,Rs. 1798,(10% OFF),4.5,62,Advertisement,brand
9270955,Levis,Men Solid Innerwear Vest,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/9270955/2024/11/20/2d8e5fae-dbe6-40b4-8f03-5105959880801732090077668-Levis-012-Classic-Vest-for-Men-with-Side-Branding-Comfort--S-1.jpg",Rs. 189,Rs. 279,(32% OFF),4.4,10.4k,Organic,brand
9262759,Levis,Men Pack of 2 Solid Briefs,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/9262759/2022/11/7/394cea20-53e6-4050-b601-11ff5f8e78ae1667819659837-Levis-Men--Pack-of-2-Solid-Pure-Cotton--Briefs-BF-100CA-2PK--1.jpg",Rs. 301,Rs. 479,(37% OFF),4.2,57.8k,Organic,brand
10723240,Levis,Men Thermal Bottoms,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/10723240/2020/11/12/e8340bc6-21cf-4362-847c-18988d7b41801605161721201-Levis-Men-Charcoal-Grey-Solid-Thermal-Bottoms-87516051617194-1.jpg",Rs. 493,Rs. 949,(48% OFF),4.3,3.9k,Advertisement,brand
32905214,Levis,Pure Cotton Printed Co-ords,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/32905214/2025/5/15/95f0da5d-fb38-437e-98c1-9c5e7f13a5951747294803780-Mens-Graphic-Print-Navy-Crew-Neck-Co-ord-Set-300174729480313-1.jpg",Rs. 1442,Rs. 3899,(63% OFF),4.5,34,Organic,brand
35665892,Levis,Typography Printed Co-Ord Set,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/3/AFcXfC1K_ddf6569005b6495a9d713898c4e5d779.jpg",Rs. 1973,Rs. 4699,(58% OFF),4.5,46,Organic,brand
14451140,Levis,Men Cotton Checked Boxers,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/14451140/2021/6/29/d1ec16fe-d868-4257-b667-bdeec8af3cd01624950591859-Levis-Men-Boxers-2981624950591050-1.jpg",Rs. 449,Rs. 599,(25% OFF),3.8,227,Advertisement,brand
12027432,Levis,Solid Lounge T-shirt,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/12027432/2022/9/15/09d02049-216d-4adf-917a-89c7585b28f51663221482922LevisMenBlackSolidPureCottonRoundNeckLoungeT-shirt1.jpg",Rs. 460,Rs. 649,(29% OFF),4.4,18.5k,Organic,brand
9270895,Levis,Men Solid Innerwear Vest,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/9270895/2019/11/20/0bc64c1f-d959-4349-a786-e97aa88c83481574252461060-Levis-Cotton-Solid-Vest-Pack-Of-1-2411574252458918-1.jpg",Rs. 233,Rs. 329,(29% OFF),4.4,4.9k,Organic,brand
10723244,Levis,Men Solid Thermal Bottoms,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/10723244/2020/11/12/934bd264-36a8-4771-ae2f-261bd7a4538f1605161681486-Levis-Men-Black-Solid-Thermal-Bottoms-221605161679495-1.jpg",Rs. 569,Rs. 949,(40% OFF),4.3,3.9k,Advertisement,brand
11321746,Levis,Men's Solid Briefs,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/11321746/2020/9/15/9653b0dc-9e58-4a25-ae3b-05fb59cc2adb1600175290138-Levis-Men-Briefs-2861600175288882-1.jpg",Rs. 208,Rs. 278,(25% OFF),3.4,83,Organic,brand
9262443,Levis,Men Pack of 2 Neo Briefs,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/9262443/2022/9/15/5352c32c-da3c-4341-baaf-42a49f8427811663221324037LevisMenPackof2BriefsBF-100CA-2PK1.jpg",Rs. 311,Rs. 479,(35% OFF),4.2,57.7k,Organic,brand
36999706,Levis,Pack Of 3 Ankle Length Socks,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/14/acMea6IF_e3624883f5dc48fb80478d12d4fc7d3d.jpg",Rs. 399,Rs. 549,(27% OFF),4.5,104,Advertisement,brand
9261149,Levis,Men Black Solid Trunks,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/9261149/2022/9/15/24836d53-60a9-4ec2-9bd6-9802348f0c471663221380953LevisMenBlackSolidTrunksBB-100CA-1PK-STYLE-010-451.jpg",Rs. 223,Rs. 349,(36% OFF),4.3,12.5k,Organic,brand
9263137,Levis,Pack of 2 Pure Cotton Briefs,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/9263137/2022/11/7/ad0bc228-2b03-4a28-b3df-879ce7b2bf731667805645366-Levis-Men-Pack-Of-2-Solid-Pure-Cotton-Briefs-BF-100CA-2PK-ST-1.jpg",Rs. 306,Rs. 479,(36% OFF),4.2,57.8k,Organic,brand
