product_id,brand,product_name,image_url,selling_price,mrp_price,discount_percent,rating,comment_count,listing_type,source_page
34807146,Nike,3 Next Nature Workout Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/9/MYOt8vIL_0406e7b5ad3844528ef6864a954ada1c.jpg",Rs. 3996,Rs. 4995,(20% OFF),4.4,221,Advertisement,brand
18800694,Nike,Men Flex Experience Running,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/4/2oH9ckB5_b650f1c38c2c4f8b96c209d2aed655d6.jpg",Rs. 3996,Rs. 4995,(20% OFF),4.3,4k,Advertisement,brand
34807140,Nike,Women Lace-Up Workout Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/9/7GJO8mm2_da8e01546f8e4d778ae743fbbdfc29e7.jpg",Rs. 3996,Rs. 4995,(20% OFF),4.2,207,Organic,brand
34955475,Nike,3 Next Nature Workout Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/16/DN0gbXke_65aaed74e93543cda25016a08ba141f2.jpg",Rs. 3996,Rs. 4995,(20% OFF),4.1,4k,Organic,brand
28345466,Nike,Zenvy Women's Leggings,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28345466/2024/3/18/0ad26685-aefd-4903-878a-801942470da01710762782409NikeZenvyWomensGentle-SupportHigh-Waisted78Leggings1.jpg",Rs. 2748,Rs. 5495,(50% OFF),4.5,124,Advertisement,brand
25503840,Nike,Men Next Nature Workout Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25503840/2023/10/16/db142f36-9011-4774-8799-08f7685025b81697471896207NikeLegendEssentialMenWorkoutShoes1.jpg",Rs. 4995,,,4.1,4k,Organic,brand
28423344,Nike,Legend Essential Workout Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28423344/2024/3/21/3f986608-5b6d-46ce-adfd-5fa3314dcfd91711043993283NikeLegendEssential3NextNatureWomensWorkoutShoes1.jpg",Rs. 4995,,,4.2,2k,Organic,brand
38554701,Nike,Indy Light-Support Women Bra,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/10/84CulFr6_00d6ef64ea614b4c91b1b375f78d4c9b.jpg",Rs. 2063,Rs. 2195,(6% OFF),4.2,6,Advertisement,brand
38362890,Nike,Women's Road Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/2/TP6FSDRv_d6541b2a5a514c05b910828273a67304.jpg",Rs. 3995,,,,,Organic,brand
38362903,Nike,Women's Road Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/2/1XmpNPEp_b8bec4c29ecc47b78aacfa231a0b9e17.jpg",Rs. 3995,,,3.7,6,Organic,brand
30129733,Nike,Dri-FIT Full-Length Leggings,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30129733/2024/7/4/bc39f31a-7c1c-4208-9861-2f29f4751a7f1720095138827NikeOneSeamlessFrontWomensHigh-WaistedFull-LengthLeggings1.jpg",Rs. 2786,Rs. 3095,(10% OFF),4.4,278,Advertisement,brand
38160183,Nike,Men's Road Running Shoes,,Rs. 3695,,,4.7,21,Organic,brand
36731483,Nike,Downshifter 13 Men Shoes,,Rs. 3866,Rs. 4295,(10% OFF),4.3,87,Organic,brand
38573393,Nike,Universa Women's Leggings,,Rs. 4946,Rs. 5495,(10% OFF),,,Advertisement,brand
33477860,Nike,Run Defy Running Shoes,,Rs. 3995,,,4.4,1.4k,Organic,brand
34955453,Nike,Run Defy Road-Running Shoes,,Rs. 3875,Rs. 3995,(3% OFF),4.4,1.4k,Organic,brand
37382610,Nike,High-Waisted Leggings,,Rs. 2748,Rs. 5495,(50% OFF),,,Advertisement,brand
27972500,Nike,Men Legend Essential 3 Next,,Rs. 4496,Rs. 4995,(10% OFF),4.1,4k,Organic,brand
34199303,Nike,Run Defy Women's Running Shoes,,Rs. 3995,,,4.5,187,Organic,brand
25097538,Nike,Men Dri-FIT Open-Hem Trousers,,Rs. 2795,,,3.9,716,Advertisement,brand
36731476,Nike,Run Defy Men Running Shoes,,Rs. 3596,Rs. 3995,(10% OFF),4.3,28,Organic,brand
36731471,Nike,Run Defy Men's Running Shoes,,Rs. 3596,Rs. 3995,(10% OFF),4.4,61,Organic,brand
37839778,Nike,Zenvy High-Waisted Shorts,,Rs. 1848,Rs. 3695,(50% OFF),,,Advertisement,brand
33477858,Nike,Run Defy Running Shoes,,Rs. 3995,,,4.4,1.4k,Organic,brand
38756810,Nike,Run Defy Men's Road-Shoes,,Rs. 3995,,,,,Organic,brand
38549822,Nike,Men's Dri-FIT T-Shirt,,Rs. 1687,Rs. 1795,(6% OFF),,,Advertisement,brand
28304778,Nike,Academy Football Shoe Bag,,Rs. 995,,,4.8,334,Organic,brand
38160198,Nike,Road-Running Shoes,,Rs. 3995,,,4.4,28,Organic,brand
37382608,Nike,One Seamless Front Leggings,,Rs. 2786,Rs. 3095,(10% OFF),,,Advertisement,brand
25916858,Nike,Kids Cotton Baseball Cap,,Rs. 795,,,4.6,85,Organic,brand
