product_id,brand,product_name,image_url,selling_price,mrp_price,discount_percent,rating,comment_count,listing_type,source_page
30850266,Puma,Men Slim Fit Polo T-shirt,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/30850266/2025/6/17/42d0df0b-9a7f-4df8-80ab-c8bbf7e7ce6b1750156161073-Puma-Mens-Slim-Fit-Polo-T-shirt-3801750156160589-1.jpg",Rs. 645,Rs. 1699,(62% OFF),4.3,23.7k,Advertisement,brand
34276137,Puma,Dry Cell Training Bra,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/12/pkCntbRS_407c0e2ecf66489eb8594c0b159c0549.jpg",Rs. 809,Rs. 1799,(55% OFF),3.8,64,Advertisement,brand
36674136,Puma,Softride Harli Hybrid Shoes,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/23/MLuxElse_1ef3ad500068486e9972c3f59c4a430f.jpg",Rs. 2099,Rs. 5999,(65% OFF),4.6,101,Organic,brand
34357468,Puma,Men Drycell Slim Fit Jogger,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/18/4S0iSUMw_98e15cba30094601a5405de5716272e3.jpg",Rs. 899,Rs. 1999,(55% OFF),3.7,48,Organic,brand
30850258,Puma,Men Slim Fit Polo T-shirt,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/30850258/2025/6/17/4ddddc7c-7c21-481f-86d4-528083c32bc31750156069532-Puma-Men-Brand-Logo-Printed-Slim-Fit-Polo-Collar-Cotton-T-sh-1.jpg",Rs. 645,Rs. 1699,(62% OFF),4.3,23.7k,Advertisement,brand
27183638,Puma,Women AKP Slip-On WalkingShoes,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/27183638/2024/5/6/38497541-0e0c-4387-84f7-92c08cdae4101714995759139-Anzarun-Krick-Pro-Slipon-Womens-Sneakers-7231714995758773-1.jpg",Rs. 1574,Rs. 4499,(65% OFF),4.4,152,Organic,brand
13341866,Puma,Moisture-Wicking Running Cap,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/13341866/2024/12/9/badcab1a-2fff-4ff7-aba7-dcb297be754e1733727953533-Puma-Unisex-Black-Solid-Baseball-Cap-4811733727953110-1.jpg",Rs. 359,Rs. 899,(60% OFF),4.3,15.7k,Organic,brand
34276131,Puma,Dry Cell Training Bra,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/12/Ps0B7BHP_f8368e49e1384eb5b232e5f2d27a5dd6.jpg",Rs. 809,Rs. 1799,(55% OFF),4.2,52,Advertisement,brand
34357445,Puma,Men Drycell Slim Fit Jogger,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/18/Y5fHDCwi_023fbb05f82d411aa563fcc3532a80a2.jpg",Rs. 899,Rs. 1999,(55% OFF),3.8,92,Organic,brand
34536443,Puma,Women Softride Vital Move Shoe,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/29/Kfn9JRNd_cd950044af4f43f9b7099324da54dc9b.jpg",Rs. 1854,Rs. 5299,(65% OFF),4.5,131,Organic,brand
