product_id,brand,product_name,image_url,selling_price,mrp_price,discount_percent,rating,comment_count,listing_type,source_page
32609230,Sangria,Georgette Anarkali Maxi Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/3/JOsIKUou_16e4c21c25ce4147a316814237a3b20c.jpg",Rs. 715,Rs. 2999,(76% OFF),4.3,"|
6",Organic,keyword
30005103,INCLUD,Checked A-Line Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30005103/2024/6/20/8ca44e52-abd7-42c8-92ea-e378f9b2863e1718875423947INCLUDCheckedA-LineDress1.jpg",Rs. 989,Rs. 1499,(34% OFF),4.2,"|
121",Organic,keyword
39520018,BAESD,Floral Print A-Line Midi Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/22/MueB8jix_6fb02cd3fdb24429a590b9e93665387c.jpg",Rs. 682,Rs. 1999,(66% OFF),,,Advertisement,keyword
19417104,FASHION DREAM,Girls Maxi Ethnic Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19417104/2022/8/6/aeae2d8a-69fa-41a0-ae23-c5786979f0161659799465204Dresses1.jpg",Rs. 766,Rs. 3499,(78% OFF),4.3,"|
602",Organic,keyword
39610882,TIOR,Fit & Flare Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/24/ylVnsxrk_c0e93247f5a34cce86bc524279d68e07.jpg",Rs. 498,Rs. 1999,(75% OFF),,,Organic,keyword
38207411,SZN,Dress For Women,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/24/jeYgUSWB_a0ac33e8514e4a0cad539b327d54269f.jpg",Rs. 889,Rs. 1499,(Rs. 610 OFF),3.9,"|
68",Advertisement,keyword
37998095,SHYAM SUNDARI,Floral Print Fit & Flare Maxi Puff Sleeve Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/16/w6vgPUGJ_e8a644fee71b4dbab3a7d5c070fdb716.jpg",Rs. 484,Rs. 1899,(75% OFF),4.1,"|
741",Organic,keyword
36932474,ER LIFE Style,One Shoulder Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/12/qCM1haT1_3832f7ec16754009b7ce6c7ed25da2cf.jpg",Rs. 286,Rs. 999,(71% OFF),3.2,"|
95",Organic,keyword
30861385,KALINI,Embroidered Ethnic Gown,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/5/1HwNCn0Z_9d52417be22f4cdcbd983273c461c012.jpg",Rs. 1599,Rs. 7999,(80% OFF),3.9,"|
805",Advertisement,keyword
34045462,Jhilik Garments,Net Fit & Flare Midi Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/11/DgLGbq7n_2470e469617248558dfc49017985178b.jpg",Rs. 862,Rs. 2100,(59% OFF),4.1,"|
42",Organic,keyword
39433415,EASY MOM,Floral Print A-Line Midi Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/17/lcsrCTAT_bb9725c899c241c39edfa888d493f251.jpg",Rs. 1399,Rs. 2999,(53% OFF),,,Organic,keyword
34803061,GAP,Girls A-Line Pure Cotton Dress,,Rs. 1999,,,4.4,"|
18",Advertisement,keyword
35526346,OCTICS,Red Embroidery Midi Dress,,Rs. 1215,Rs. 5845,(79% OFF),4.2,"|
1.9k",Organic,keyword
33326718,BAESD,Fit and Flare Ethnic Dresses,,Rs. 407,Rs. 2149,(81% OFF),4.2,"|
12",Organic,keyword
37944002,GAP,Girls Flutter Sleeve Dress,,Rs. 1399,Rs. 1999,(30% OFF),,,Advertisement,keyword
31375705,Claura,Women Fit & Flare Midi Dress,,Rs. 782,Rs. 2899,(73% OFF),4.3,"|
8.4k",Organic,keyword
39585207,TIOR,Floral Print Fit & Flare Dress,,Rs. 498,Rs. 1999,(75% OFF),,,Organic,keyword
34883664,GAP,Pure Cotton A-Line Mini Dress,,Rs. 1999,,,4.3,"|
17",Advertisement,keyword
30685109,StyleCast,Bodycon Midi Dress,,Rs. 775,Rs. 1649,(53% OFF),4,"|
3.6k",Organic,keyword
35995873,Vetrokart,Girls Fit & Flare Maxi Dress,,Rs. 497,Rs. 1999,(75% OFF),1.8,"|
40",Organic,keyword
27443676,Azira,Floral Print Puff Sleeve Dress,,Rs. 899,Rs. 2899,(69% OFF),4.2,"|
2.6k",Advertisement,keyword
33327257,LERIYA FASHION,Printed Halter Neck Dress,,Rs. 475,Rs. 2299,(Rs. 1824 OFF),3.9,"|
267",Organic,keyword
39517101,Ginger by Lifestyle,Midi Dress,,Rs. 1499,,,,,Organic,keyword
30919804,TeenTrums,Girls Print Fit & Flare Dress,,Rs. 459,Rs. 1650,(72% OFF),4.1,"|
24",Advertisement,keyword
25323250,StyleCast,Red Midi Bodycon Dress,,Rs. 1208,Rs. 3099,(61% OFF),4.2,"|
4.2k",Organic,keyword
37638982,EASY MOM,Cotton Denim Maternity Dress,,Rs. 1322,Rs. 2999,(56% OFF),4.3,"|
21",Organic,keyword
30919781,TeenTrums,Floral Print Fit & Flare Dress,,Rs. 499,Rs. 1799,(72% OFF),4.1,"|
24",Advertisement,keyword
38742663,SK DRESSES,Floral Embroidered Velvet Fit & Flare Dress,,Rs. 302,Rs. 1499,(80% OFF),3.3,"|
144",Organic,keyword
39519354,Colour Me by Melange,Floral Print Shirt Midi Dress,,Rs. 1299,,,,,Organic,keyword
32606426,Azira,Fit & Flare Dress With Jacket,,Rs. 899,Rs. 3199,(72% OFF),4.3,"|
1.3k",Advertisement,keyword
