product_id,brand,product_name,image_url,selling_price,mrp_price,discount_percent,rating,comment_count,listing_type,source_page
31014875,StyleCast,Men Tailored Jacket,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/24/tjlztGaF_822d160dea33450c94a27cc17dfdaf4c.jpg",Rs. 1424,Rs. 3849,(63% OFF),3.5,2.6k,Advertisement,keyword
37163958,StyleCast x Revolte,Men Outdoor Tailored Jacket,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/24/OPs0UQvR_2a332068033e4237ad820f5372059644.jpg",Rs. 1715,Rs. 5199,(67% OFF),3.8,203,Advertisement,keyword
21804232,Jompers,Woven Design Nehru Jacket,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/21804232/2023/2/2/befa3070-2f29-4a2e-bc35-758046a160841675315662609WovenDesignWaistcoat1.jpg",Rs. 927,Rs. 3199,(71% OFF),4.3,948,Organic,keyword
33570161,glitchez,Collarless Gilet Jacket,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/13/YaNUvGQ2_b17f7e71468546d9a5437abeba73e374.jpg",Rs. 615,Rs. 2199,(72% OFF),4.1,25,Organic,keyword
31011309,StyleCast x Revolte,Men Hooded Puffer Jacket,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/24/thBRPVpq_af053bb5c1554896a181e12d037f886a.jpg",Rs. 1762,Rs. 4299,(59% OFF),4.1,2k,Advertisement,keyword
25042524,HIGHLANDER,High Neck Puffer Jacket,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/25042524/2023/9/18/05a33d8a-3a6c-4f19-b082-fc1210aad2c01695015992607HIGHLANDERMenBlackPufferJacket1.jpg",Rs. 779,Rs. 2599,(70% OFF),4.3,20.2k,Organic,keyword
15122494,VASTRAMAY,Men Solid Slim-Fit Woven Nehru Jacket,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/15122494/2021/8/12/abdfe7fd-10d0-4aa6-b60c-7adfafece94c1628755716706VastramayMensBlackSolidCottonBlendNehruJacket1.jpg",Rs. 999,Rs. 3499,(Rs. 2500 OFF),4,333,Organic,keyword
30026533,Urbano Fashion,Washed Denim Jacket,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/25/lkF1wtSR_79e8863aac8946f8ae2ee7656843a3c6.jpg",Rs. 1599,Rs. 3199,(50% OFF),4.3,175,Advertisement,keyword
24774434,Anouk,Embroidered Nehru Jacket,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/24774434/2023/9/1/8fca044d-3dbe-4aa5-980d-8a73134ed4b71693584648592AnoukMensSilkBlendFloraldesignedembroideredGreenColorNehruJa1.jpg",Rs. 1450,Rs. 4664,(69% OFF),4.2,293,Organic,keyword
31426380,StyleCast x Revolte,Men Solid Bomber Jacket,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/22/YSR9sfz1_d80d66be70f6454ca03d722f1fe19a05.jpg",Rs. 1619,Rs. 4049,(60% OFF),3.4,778,Organic,keyword
24872990,Red Tape,Hooded Puffer Jacket,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/24872990/2024/10/16/c7a34f43-c195-4871-ac71-f0f78cd51be31729096043424-Red-Tape-Men-Solid-Hooded-Padded-Jacket-5741729096042691-1.jpg",Rs. 1421,Rs. 10299,(86% OFF),4.3,792,Advertisement,keyword
29169946,Jompers,Embroidered Nehru Jackets,,Rs. 1149,Rs. 4999,(77% OFF),4.4,392,Organic,keyword
31014894,StyleCast,Men Checked Tailored Jacket,,Rs. 1539,Rs. 3849,(60% OFF),3.5,2.6k,Organic,keyword
30026531,Urbano Fashion,Washed Longline Denim Jacket,,Rs. 1599,Rs. 3199,(50% OFF),4.3,172,Advertisement,keyword
4453292,HRX by Hrithik Roshan,Men Solid Bomber,,Rs. 1399,Rs. 3999,(65% OFF),4.2,3.2k,Organic,keyword
39415970,V-Mart,Self-Designed Nehru Jackets,,Rs. 854,Rs. 899,(5% OFF),,,Organic,keyword
15095372,Urbano Fashion,Men Washed Denim Jacket,,Rs. 1399,Rs. 2399,(42% OFF),3.8,135,Advertisement,keyword
27972082,StyleCast,Spread Collar Tailored Jacket,,Rs. 997,Rs. 2849,(65% OFF),3.9,1.3k,Organic,keyword
10503276,HIGHLANDER,Men Solid Denim Jacket,,Rs. 930,Rs. 2449,(62% OFF),4.1,6.5k,Organic,keyword
39127352,Sztori,Plus Size Sherpa Jacket,,Rs. 1308,Rs. 5499,(76% OFF),,,Advertisement,keyword
10742396,Tokyo Talkies,Women Solid Denim Jacket,,Rs. 1311,Rs. 1599,(18% OFF),4.4,1.9k,Organic,keyword
33548488,Mast & Harbour,Floral Tailored Jacket,,Rs. 1203,Rs. 4299,(72% OFF),4.4,21,Organic,keyword
24873022,Red Tape,Mock Collar Bomber Jacket,,Rs. 1379,Rs. 9999,(86% OFF),4.2,1.5k,Advertisement,keyword
23562944,SOJANYA PLUS,Plus Size Printed Nehru Jacket,,Rs. 1610,Rs. 4489,(64% OFF),4.2,115,Organic,keyword
21804242,Jompers,Woven Design Nehru Jacket,,Rs. 927,Rs. 3199,(71% OFF),4.3,943,Organic,keyword
37565158,Urbano Plus,Men Plus Size Denim Jacket,,Rs. 1899,Rs. 3999,(53% OFF),4.3,47,Advertisement,keyword
33528356,HRX by Hrithik Roshan,Rapid-Dry Training Jacket,,Rs. 799,Rs. 2499,(68% OFF),4.3,63,Organic,keyword
34727255,Roadster,Pure Cotton Denim Jacket,,Rs. 951,Rs. 2799,(66% OFF),3.8,79,Organic,keyword
15095378,Urbano Fashion,Washed Denim Jacket,,Rs. 1499,Rs. 2899,(48% OFF),3.9,1.5k,Advertisement,keyword
33320716,HERE&NOW,Crop Biker Jacket,,Rs. 1471,Rs. 4599,(68% OFF),4.1,37,Organic,keyword
39691645,Aarika,Denim,,Rs. 751,Rs. 1749,(57% OFF),,,Organic,keyword
37830876,COLOR CAPITAL,Lightweight Antimicrobial Training or Gym Sporty Jacket,,Rs. 790,Rs. 1580,(50% OFF),4.5,1.9k,Advertisement,keyword
20857494,XYXX,Mock Collar Cotton Sweatshirt,,Rs. 1199,Rs. 1599,(25% OFF),4.2,1k,Organic,keyword
12288112,SASSAFRAS,Corduroy Cropped Bomber Jacket,,Rs. 699,Rs. 1999,(Rs. 1300 OFF),4.2,5.2k,Organic,keyword
37467711,Trendyol,Long Sleeves Jacket,,Rs. 1399,Rs. 3499,(60% OFF),3.5,13,Advertisement,keyword
31364321,Campus Sutra,Women Solid Puffer Jacket,,Rs. 1025,Rs. 2699,(62% OFF),4,5.2k,Organic,keyword
31412690,The Indian Garage Co,Men Hooded Puffer Jacket,,Rs. 908,Rs. 3949,(77% OFF),4,1.3k,Organic,keyword
37483130,R.Code by The Roadster Life Co.,Men Solid Bomber Jacket,,Rs. 696,Rs. 2499,(72% OFF),,,Advertisement,keyword
18667802,HRX by Hrithik Roshan,Rapid-Dry Running Jacket,,Rs. 753,Rs. 2599,(71% OFF),4.1,2k,Organic,keyword
36932379,FTX,Men Printed Bomber Jacket,,Rs. 545,Rs. 2330,(Rs. 1785 OFF),4.2,1.3k,Organic,keyword
