product_id,brand,product_name,image_url,selling_price,mrp_price,discount_percent,rating,comment_count,listing_type,source_page
27331718,Flying Machine,Women Skinny Fit Jeans,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/27331718/2025/6/8/9f6cde89-6a28-47cc-83ce-021d9d7b1d6c1749365409418-Flying-Machine-Women-Skinny-Fit-High-Rise-Clean-Look-Stretch-1.jpg",Rs. 1159,Rs. 1999,(42% OFF),4.1,254,Advertisement,keyword
35028324,glitchez,Women Baggy Fit Jeans,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/21/klFd18kT_00eb37663f9e498bb72251be3c2107ad.jpg",Rs. 593,Rs. 1799,(67% OFF),,,Advertisement,keyword
24171328,United Colors of Benetton,Boys Stretchable Jeans,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/24171328/2023/9/7/5bb2423c-684f-43db-80dc-55090dca80df1694062260825-United-Colors-of-Benetton-Boys-Jeans-611694062260581-1.jpg",Rs. 628,Rs. 1699,(63% OFF),4.5,1.1k,Organic,keyword
26206266,Kotty,Women Straight Fit Jeans,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/26206266/2023/12/2/b0f03f3f-ca39-44d0-819c-9bcd28f2d5491701517932883KottyWomenBlackJeanStraightFitHigh-RiseStretchableJeans1.jpg",Rs. 539,Rs. 1999,(73% OFF),4,6.9k,Organic,keyword
22392004,Urbano Fashion,Men Mid Rise Bootcut Jeans,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/3/i0V82nXs_43189a922ae442798e6bffa28b3890b3.jpg",Rs. 899,Rs. 1999,(55% OFF),4.1,7.7k,Advertisement,keyword
36844855,NEXT,Boys Mid-Rise Jeans,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/31/D8VJ1Tie_0e41a23f12d74936ae32cada213df35d.jpg",Rs. 1439,Rs. 2399,(40% OFF),4.8,9,Organic,keyword
39427036,4WRD by Dressberry,Women Straight Fit High-Rise Jeans,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/17/gOwVU6QH_9fc27cd1ddcf47b795757f009a03c81a.jpg",Rs. 749,Rs. 2999,(75% OFF),,,Organic,keyword
30976246,HIGHLANDER,Men Straight Fit Jeans,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/15/TfAvWUj2_ca324a92c553475ea9b74f1986040468.jpg",Rs. 689,Rs. 2999,(77% OFF),4.2,1.1k,Advertisement,keyword
22408152,SASSAFRAS,Women Wide Leg Jeans,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/22408152/2023/3/24/5d328149-7f47-4b79-b499-5c9bd5de316a1679650604697SASSAFRASWomenBlackStraightFitLowDistressStretchableJeans1.jpg",Rs. 923,Rs. 2199,(58% OFF),4.2,14.7k,Organic,keyword
25067776,Basics By Tokyo Talkies,Women Flared Clean Look Jeans,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/25067776/2023/9/20/b1998b02-3d3a-4810-91c4-69fb3b501ae31695201275118TokyoTalkiesWomenBlackFlaredLowDistressStretchableJeans1.jpg",Rs. 639,Rs. 1999,(68% OFF),4.2,18.3k,Organic,keyword
30026553,Urbano Fashion,Men Relaxed Fit Cotton Jeans,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/20/IUPfxNVL_d09474ffd3de46bcb0b926f3f973b5ad.jpg",Rs. 1079,Rs. 2399,(55% OFF),4.1,2k,Advertisement,keyword
33750615,United Colors of Benetton,Girl Slouchy Fit Jeans,,Rs. 874,Rs. 2499,(65% OFF),4.4,12,Organic,keyword
39686089,H&M,Cotton Jeans,,Rs. 1499,,,,,Organic,keyword
33621493,Nautica,Men Straight Fit Jeans,,Rs. 840,Rs. 2899,(71% OFF),4.4,487,Advertisement,keyword
25750012,Roadster,Women Wide Leg High-Rise Jeans,,Rs. 650,Rs. 2099,(69% OFF),4.2,3.6k,Organic,keyword
30643036,Tokyo Talkies,Women Wide Leg Jeans,,Rs. 824,Rs. 2499,(67% OFF),4.1,1.4k,Organic,keyword
24895018,Off Duty India,Women High Rise Cotton Jeans,,Rs. 1689,Rs. 1690,(Rs. 1 OFF),4.1,270,Advertisement,keyword
36719954,Urbano Juniors,Boys Loose Baggy Fit Jeans,,Rs. 944,Rs. 2099,(55% OFF),4.4,199,Organic,keyword
39516063,Ginger by Lifestyle,Women Regular Fit Mid-Rise Jeans,,Rs. 999,,,,,Organic,keyword
27825348,AD By Arvind,Skinny Fit Light Fade Jeans,,Rs. 1429,Rs. 2599,(45% OFF),4.1,332,Advertisement,keyword
25228886,Roadster,Women Flared High-Rise Jeans,,Rs. 639,Rs. 1999,(68% OFF),4.2,2.4k,Organic,keyword
35028322,glitchez,Women Baggy Fit Jeans,,Rs. 560,Rs. 1699,(67% OFF),4.1,117,Organic,keyword
30715726,HIGHLANDER,Men Straight Fit Jeans,,Rs. 599,Rs. 2999,(80% OFF),4.2,1.1k,Advertisement,keyword
30682726,SASSAFRAS BASICS,Women Straight Fit Jeans,,Rs. 949,Rs. 2498,(62% OFF),4.1,1.2k,Organic,keyword
39413230,DressBerry,Women Straight Fit High-Rise Jeans,,Rs. 749,Rs. 2999,(75% OFF),,,Organic,keyword
36779074,Urbano Plus,Baggy Fit Washed Jeans,,Rs. 1270,Rs. 3099,(59% OFF),4.4,40,Advertisement,keyword
29828798,Kotty,Women Straight Fit Jeans,,Rs. 574,Rs. 2499,(77% OFF),3.8,2k,Organic,keyword
25750016,Roadster,Women Baggy Wide Leg Jeans,,Rs. 650,Rs. 2099,(69% OFF),4.3,1k,Organic,keyword
37228057,Urbano Plus,Men Baggy Fit Cotton Jeans,,Rs. 1301,Rs. 3099,(58% OFF),4.5,30,Advertisement,keyword
19259884,Kotty,Women Straight Fit Jeans,,Rs. 559,Rs. 1999,(72% OFF),3.9,29.1k,Organic,keyword
39454541,V-Mart,Women Regular Fit Mid-Rise Jeans,,Rs. 657,Rs. 699,(6% OFF),,,Organic,keyword
32822628,Urbano Fashion,Men Heavy Washed Jeans,,Rs. 965,Rs. 2299,(58% OFF),3.9,202,Advertisement,keyword
33726312,Tokyo Talkies,Women Flared High-Rise Jeans,,Rs. 582,Rs. 2649,(78% OFF),4.2,996,Organic,keyword
30189601,HIGHLANDER,Men Washed Wide Leg Jeans,,Rs. 649,Rs. 2599,(75% OFF),4.2,497,Organic,keyword
