product_id,brand,product_name,image_url,selling_price,mrp_price,discount_percent,rating,comment_count,listing_type,source_page
31180755,Nike,Women Tracksuit Bottoms,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/30/8rboKIZc_3933f62366834038850b9a84970e3da6.jpg",Rs. 3795,,,4.7,"|
49",Advertisement,brand
38863504,Nike,Tempo Running Pants,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/22/9VXaqngF_ec59c04c5372475f82a42964751ac878.jpg",Rs. 2956,Rs. 3695,(20% OFF),,,Advertisement,brand
34807146,Nike,3 Next Nature Workout Shoes,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/9/MYOt8vIL_0406e7b5ad3844528ef6864a954ada1c.jpg",Rs. 3497,Rs. 4995,(30% OFF),4.4,"|
227",Organic,brand
34807140,Nike,Women Lace-Up Workout Shoes,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/9/7GJO8mm2_da8e01546f8e4d778ae743fbbdfc29e7.jpg",Rs. 3497,Rs. 4995,(30% OFF),4.2,"|
215",Organic,brand
36974655,Nike,Sportswear Phoenix Trackpants,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/15/vYzjGf9n_d43ec0383c294120a63963ac1ee4a9e0.jpg",Rs. 3196,Rs. 3995,(20% OFF),4.4,"|
24",Advertisement,brand
27972500,Nike,Men Legend Essential 3 Next,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/27972500/2024/3/1/b7c6ab92-6ecf-4711-9b45-a506f2894a4f1709294014452NikeLegendEssential3NextNatureMensWorkoutShoes1.jpg",Rs. 3996,Rs. 4995,(20% OFF),4.1,"|
4.1k",Organic,brand
38160183,Nike,Men's Road Running Shoes,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/22/snF7Bg5Y_41e2f6b39b0241b18dc3152c0fb526a0.jpg",Rs. 3695,,,4.7,"|
23",Organic,brand
36600779,Nike,Strike Men's Dri-FIT Pants,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/AUGUST/25/QuZEKrGE_39d96440b6d24aa78790b56d0c0da313.jpg",Rs. 2217,Rs. 3695,(40% OFF),,,Advertisement,brand
38160198,Nike,Road-Running Shoes,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/22/os45mVno_994d7011ff2f4148a3fa8ff46aa98b40.jpg",Rs. 3995,,,4.4,"|
28",Organic,brand
38362903,Nike,Women's Road Running Shoes,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/2/1XmpNPEp_b8bec4c29ecc47b78aacfa231a0b9e17.jpg",Rs. 3995,,,3.9,"|
7",Organic,brand
28965652,Nike,Zenvy Women's Dri-FIT Bodysuit,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/28965652/2024/4/16/d44bed42-4ece-487e-8497-8abbea59f1651713261649629NikeZenvyWomensDri-FITShortBodysuit1.jpg",Rs. 3297,Rs. 5495,(40% OFF),4.4,"|
14",Advertisement,brand
38362890,Nike,Women's Road Running Shoes,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/2/TP6FSDRv_d6541b2a5a514c05b910828273a67304.jpg",Rs. 3995,,,3.8,"|
5",Organic,brand
33477860,Nike,Run Defy Running Shoes,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/4/35tsxYXy_39ef113ec33f4c39a2d89953bc5be3f8.jpg",Rs. 3995,,,4.4,"|
1.4k",Organic,brand
32293976,Nike,Sportswear Phoenix Bottoms,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/32293976/2025/1/9/c254ce9a-82df-47f3-8442-097defc1d3021736440066276TrackPants1.jpg",Rs. 2657,Rs. 3795,(30% OFF),4.2,"|
83",Advertisement,brand
34955453,Nike,Run Defy Road-Running Shoes,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/16/4O8FgFbo_fff677420ffa45139e623a35f8dc87b5.jpg",Rs. 3596,Rs. 3995,(10% OFF),4.4,"|
1.4k",Organic,brand
35548279,Nike,Unisex Heritage 2.0 Tote Bag,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/11/BMLG1pj6_d85b57a2429f483e938ff94d9cafadaf.jpg",Rs. 1607,Rs. 2295,(30% OFF),5,"|
5",Organic,brand
37207657,Nike,Dri-FIT Stride Men's Shorts,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/26/3o1JFIga_70cca5c2ec0c4d329ee9b786f505b226.jpg",Rs. 2895,,,4.8,"|
6",Advertisement,brand
25916858,Nike,Kids Cotton Baseball Cap,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/25916858/2023/11/17/8c67b892-f14b-4be4-b3f0-3e9658a45d5e1700212764896NikeClubKidsUnstructuredFuturaWashCap1.jpg",Rs. 795,,,4.6,"|
85",Organic,brand
33477858,Nike,Run Defy Running Shoes,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/5/SunGIBXX_afb8a2eb146844bc8186cb021a2197c3.jpg",Rs. 3995,,,4.4,"|
1.4k",Organic,brand
37382951,Nike,Women's Woven Trackpants,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/8/nuEKSnam_28b14c65d83d4fea9e706a8c7e44e38e.jpg",Rs. 3276,Rs. 4095,(20% OFF),,,Advertisement,brand
36619104,Nike,Run Defy Women Running Shoes,"https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/2025/AUGUST/27/WMtW7xku_65137d561ce340ada84c48b648146cf0.jpg",Rs. 3995,,,,,Organic,brand
