product_id,brand,product_name,image_url,selling_price,mrp_price,discount_percent,rating,comment_count,listing_type,source_page
29494070,HRX by Hrithik Roshan,Men Pack Of 5 Ankle Socks,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29494070/2024/8/28/4945638c-5ffc-4b8e-b8c1-a96a61c7e8651724845060651-HRX-by-Hrithik-Roshan-Men-Pack-Of-5-Ankle-Length-Socks-62617-1.jpg",Rs. 388,Rs. 1499,(74% OFF),4.5,"|
8.4k",Advertisement,brand
23532226,HRX by Hrithik Roshan,Pack of 3 Ankle Sports Socks,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/26/pWGyhJV2_4035fa20f53e46539b8a5cd87d72dbe6.jpg",Rs. 269,Rs. 1099,(76% OFF),4.5,"|
5.7k",Advertisement,brand
29553912,HRX by Hrithik Roshan,Unisex Back To School Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29553912/2024/5/17/5f90bc0f-c248-4bff-8a88-54128a77c4a61715927218769HRXbyHrithikRoshanUnisexTexturedSneakers1.jpg",Rs. 3699,,,4.2,"|
2.2k",Organic,brand
24031396,HRX by Hrithik Roshan,Women Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24031396/2023/7/15/1e2fc064-de69-4926-a5a5-4e9f1df7a3ec1689363715334SportsShoes1.jpg",Rs. 998,Rs. 2999,(67% OFF),4.3,"|
15.6k",Organic,brand
29049016,HRX by Hrithik Roshan,Men Pack Of 3 Shoe Liners,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29049016/2024/8/28/3df31e41-0877-4d94-92e9-d7cd088484ee1724845024630-HRX-by-Hrithik-Roshan-Men-Pack-Of-3-Cotton-Shoe-Liners-22217-1.jpg",Rs. 298,Rs. 749,(60% OFF),4.5,"|
580",Advertisement,brand
37731458,HRX by Hrithik Roshan,Men 5Pcs Ankle Length Socks,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/2/th6ebKxh_9c45c50d99b74a5a8e6e3ffed723475f.jpg",Rs. 384,Rs. 1299,(70% OFF),4.6,"|
979",Organic,brand
32085906,HRX by Hrithik Roshan,Unisex Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32085906/2024/12/25/c61e92aa-9d16-4fd7-8cad-c100cf3560351735143905559UnisexComfortableRunningShoes1.jpg",Rs. 1116,Rs. 2999,(63% OFF),4.3,"|
3.2k",Organic,brand
33781532,HRX by Hrithik Roshan,Men Relaxed Lifestyle Joggers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/AUGUST/8/EhyO2zwo_b441a2a0bd894ba59f06f868bbf35d1f.jpg",Rs. 559,Rs. 1599,(65% OFF),4.5,"|
39",Advertisement,brand
23222106,HRX by Hrithik Roshan,Men Woven Design Sports Sandal,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23222106/2023/11/10/1e2ac143-dbbc-4b7d-88a3-cd9e850aeb101699608548154-HRX-by-Hrithik-Roshan-Men-Woven-Design-Sports-Sandal-7216996-11.jpg",Rs. 1099,Rs. 2499,(56% OFF),4.4,"|
1.2k",Organic,brand
2311895,HRX by Hrithik Roshan,Men Square Sunglasses,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2311895/2018/5/24/40e222b7-a2c8-4a4f-ae10-ee7b5e80a4181527154081660-HRX-by-Hrithik-Roshan-Men-Square-Sunglasses-MFB-PN-CY-80249-2521527154081627-1.jpg",Rs. 1220,Rs. 3299,(63% OFF),4.2,"|
1k",Organic,brand
33201470,HRX by Hrithik Roshan,Men Lifestyle Joggers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/33201470/2025/5/30/e8190c65-63c4-4782-af5e-76cf9cf5bacd1748594897578-HRX-by-Hrithik-Roshan-Men-Track-Pants-3091748594896811-1.jpg",Rs. 405,Rs. 1399,(71% OFF),3.7,"|
38",Advertisement,brand
33673053,HRX by Hrithik Roshan,Rapid-Dry Running Tracksuit,,Rs. 569,Rs. 3799,(85% OFF),3.7,"|
71",Organic,brand
32085910,HRX by Hrithik Roshan,Unisex Running Shoes,,Rs. 1116,Rs. 2999,(63% OFF),4.3,"|
3.2k",Organic,brand
33780978,HRX by Hrithik Roshan,Rapid-Dry Training T-shirt,,Rs. 509,Rs. 1499,(66% OFF),4.2,"|
46",Advertisement,brand
38963837,HRX by Hrithik Roshan,Round Neck Swim Set Swimwear,,Rs. 1199,Rs. 2999,(60% OFF),,,Organic,brand
39416126,HRX by Hrithik Roshan,Men Printed Cotton Boxer,,Rs. 598,Rs. 1999,(70% OFF),,,Organic,brand
26460014,HRX by Hrithik Roshan,Women Pack Of 3 Cotton Socks,,Rs. 359,Rs. 799,(55% OFF),4.6,"|
1.2k",Advertisement,brand
28297410,HRX by Hrithik Roshan,Rapid-Dry Sports Tracksuit,,Rs. 1692,Rs. 4799,(65% OFF),4,"|
1.3k",Organic,brand
26759684,HRX by Hrithik Roshan,Unisex Sports Sunglasses,,Rs. 849,Rs. 2499,66% OFF,,,Organic,brand
33781230,HRX by Hrithik Roshan,Women Training Joggers,,Rs. 593,Rs. 1799,(67% OFF),4.3,"|
50",Advertisement,brand
31229592,HRX by Hrithik Roshan,Typography Printed Co-Ords,,Rs. 1143,Rs. 1899,(40% OFF),4.2,"|
1.6k",Organic,brand
28297408,HRX by Hrithik Roshan,Rapid-Dry Sports Tracksuit,,Rs. 1596,Rs. 4299,(63% OFF),3.8,"|
1.4k",Organic,brand
33781468,HRX by Hrithik Roshan,Men Rapid-Dry Training Joggers,,Rs. 475,Rs. 1399,(66% OFF),3.5,"|
6",Advertisement,brand
34464326,HRX by Hrithik Roshan,Men Active Running Shoes,,Rs. 1599,Rs. 6950,(77% OFF),4.1,"|
1.5k",Organic,brand
2311896,HRX by Hrithik Roshan,Men Square Sunglasses,,Rs. 1220,Rs. 3299,(63% OFF),4.2,"|
1.1k",Organic,brand
32990337,HRX by Hrithik Roshan,Men Rapid-Dry Training Joggers,,Rs. 463,Rs. 1599,(71% OFF),4,"|
108",Advertisement,brand
33796859,HRX by Hrithik Roshan,Rapid-Dry Training Tights,,Rs. 935,Rs. 1799,(48% OFF),4,"|
31",Organic,brand
32093861,HRX by Hrithik Roshan,HRX-235 03 Mesh Running Shoes,,Rs. 1107,Rs. 3999,(72% OFF),4.1,"|
1.9k",Organic,brand
33781226,HRX by Hrithik Roshan,Women Training Joggers,,Rs. 475,Rs. 1399,(66% OFF),4.2,"|
53",Advertisement,brand
33796862,HRX by Hrithik Roshan,Rapid-Dry Running Tracksuit,,Rs. 1253,Rs. 3299,(62% OFF),4.4,"|
90",Organic,brand
