product_id,brand,product_name,image_url,selling_price,mrp_price,discount_percent,rating,comment_count,listing_type,source_page
9263091,Levis,Men Neo Briefs,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9263091/2022/9/15/b8d0ef44-9fae-40db-a20d-cf1551bb93ad1663221572330LevisMenBlackSolidPureCottonBriefsBF-100CA-1PK-STYLE-009-351.jpg",Rs. 194,Rs. 249,(22% OFF),4.2,"|
26.3k",Organic,brand
12027436,Levis,Solid Lounge T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12027436/2022/9/15/ea90445c-a37b-43ac-948b-8e291ec78dc31663221311972LevisMenWhiteSolidRoundNeckLoungeT-shirt1.jpg",Rs. 506,Rs. 649,(22% OFF),4.4,"|
18.4k",Organic,brand
14447644,Levis,Pack of 2 Assorted Trunks,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14447644/2021/6/29/2e382fec-d226-4d7e-adf1-9042e3d5cfb51624954945488-Mens-Solid-200-SF-018-Trunk-Pack-of-2-5441624954945068-1.jpg",Rs. 475,Rs. 678,(30% OFF),4.1,"|
428",Advertisement,brand
9270955,Levis,Men Solid Innerwear Vest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9270955/2024/11/20/2d8e5fae-dbe6-40b4-8f03-5105959880801732090077668-Levis-012-Classic-Vest-for-Men-with-Side-Branding-Comfort--S-1.jpg",Rs. 217,Rs. 279,(22% OFF),4.4,"|
10.4k",Organic,brand
9262443,Levis,Men Pack of 2 Neo Briefs,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9262443/2022/9/15/5352c32c-da3c-4341-baaf-42a49f8427811663221324037LevisMenPackof2BriefsBF-100CA-2PK1.jpg",Rs. 373,Rs. 479,(22% OFF),4.2,"|
57.7k",Organic,brand
14447636,Levis,Pack of 2 Assorted Trunks,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14447636/2021/6/29/3be079e7-e8ec-4880-9232-536dd21a48a31624958015025-Mens-Solid-100-CA-003-Trunk-Pack-of-2-1611624958014623-1.jpg",Rs. 405,Rs. 578,(30% OFF),4.2,"|
8.8k",Advertisement,brand
12027432,Levis,Solid Lounge T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12027432/2022/9/15/09d02049-216d-4adf-917a-89c7585b28f51663221482922LevisMenBlackSolidPureCottonRoundNeckLoungeT-shirt1.jpg",Rs. 506,Rs. 649,(22% OFF),4.4,"|
18.4k",Organic,brand
9262603,Levis,Men Pack of 2 Solid Briefs,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9262603/2022/11/7/ba2c4a15-c06d-4d6e-bd38-7fc0e53272321667819653120-Levis-Men-Pack-of-2-Solid--Briefs-BF-100CA-2PK-5051667819652-1.jpg",Rs. 373,Rs. 479,(22% OFF),4.2,"|
57.7k",Organic,brand
30241421,Levis,Men Ribbed Thermal Set,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/JULY/17/RKf3P04L_f8812cf2df0a493bafef2a83b06625b3.jpg",Rs. 899,Rs. 1798,(50% OFF),4.5,"|
62",Advertisement,brand
9262759,Levis,Men Pack of 2 Solid Briefs,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9262759/2022/11/7/394cea20-53e6-4050-b601-11ff5f8e78ae1667819659837-Levis-Men--Pack-of-2-Solid-Pure-Cotton--Briefs-BF-100CA-2PK--1.jpg",Rs. 373,Rs. 479,(22% OFF),4.2,"|
57.7k",Organic,brand
12032616,Levis,Smartskin Technology Trunks,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12032616/2022/9/15/e80e1a30-ca42-4264-a8c6-1737724b9c441663221171104LevisMenNavySolidPureCottonTrunks001-BOXERBRIEF1.jpg",Rs. 279,Rs. 329,(15% OFF),4.3,"|
9.8k",Organic,brand
14461444,Levis,Men Assorted Solid Trunks,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14461444/2021/6/30/05c2720f-d39d-4712-b40f-b16176f8f69c1625029775602-Mens-Solid-200-SF-018-Trunk-Pack-of-1-411625029775015-1.jpg",Rs. 276,Rs. 345,(20% OFF),4.1,"|
724",Advertisement,brand
