product_id,brand,product_name,image_url,selling_price,mrp_price,discount_percent,rating,comment_count,listing_type,source_page
36467094,Puma,Minicats T7 Tracksuit,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/AUGUST/19/pqvP15K0_fe70ddd34bca49f790eb39c9ed4c9540.jpg",Rs. 1737,Rs. 3475,(50% OFF),4.3,"|
42",Advertisement,brand
30850266,Puma,Men Slim Fit Polo T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30850266/2025/6/17/42d0df0b-9a7f-4df8-80ab-c8bbf7e7ce6b1750156161073-Puma-Mens-Slim-Fit-Polo-T-shirt-3801750156160589-1.jpg",Rs. 645,Rs. 1699,(62% OFF),4.3,"|
23.5k",Advertisement,brand
11807736,PUMA Motorsport,Unisex BMW M LS Twofold Wallet,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11807736/2020/4/21/743cd3b5-1cc9-47d3-8b1f-3ee88491839a1587461277868PUMA1.jpg",Rs. 849,Rs. 1699,(50% OFF),4.5,"|
2.6k",Organic,brand
25815666,Puma,Leather Embossed Wallets,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25815666/2023/11/9/4271a29c-059d-4828-8a25-b488676db49d1699534368513PUMALeatherEmbossedWallet1.jpg",Rs. 699,Rs. 1999,(65% OFF),4.4,"|
746",Organic,brand
32436517,Puma,METALLIC Women Tights,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/22/7l32HsLG_346945269fd74ce38672a2b4414911f2.jpg",Rs. 773,Rs. 1799,(57% OFF),4,"|
201",Advertisement,brand
13341878,Puma,Running Unisex Cap,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13341878/2024/12/9/91563c95-904c-47b2-a47c-876ad16572ac1733728032463-Puma-Unisex-Black-Solid-Baseball-Cap-8691733728032051-1.jpg",Rs. 319,Rs. 799,(60% OFF),4.3,"|
45.8k",Organic,brand
38528230,Puma,Essentials Baseball Cap,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/9/08cDUo3C_cef856f2951242b6a8d7dcfa502bde40.jpg",Rs. 269,Rs. 599,(55% OFF),4.6,"|
140",Organic,brand
34150936,Puma,Medium Gym Duffel Bag,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/13/G5YhxcgP_e9e9fe1ce46b4247aaf9a1da9a0f5359.jpg",Rs. 1264,Rs. 2299,(45% OFF),4.5,"|
510",Advertisement,brand
28340310,Puma,Kids Coarse Youth Running Shoe,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28340310/2024/3/18/61c00e47-bc98-44b5-ac05-691f9024148c1710772711784PUMACoarseYouthRunningShoes1.jpg",Rs. 2099,Rs. 3499,(40% OFF),4.4,"|
320",Organic,brand
36461836,Puma,Badminton Smash Sprint Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/26/98zY8Gnf_1b6bf6acc3da42e38d9fa43fb1a32dcd.jpg",Rs. 1899,Rs. 4999,(62% OFF),4.3,"|
12.7k",Organic,brand
32588864,Puma,Skyrocket Lite Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32588864/2025/2/5/1c559611-e3e6-4427-b2e8-e0ec0defe8a31738762112054-Puma-Skyrocket-Lite-Unisex-Running-Shoes-241738762111572-1.jpg",Rs. 2999,Rs. 4999,(40% OFF),4.3,"|
267",Advertisement,brand
36467110,Puma,Girls Printed Cotton T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/18/bYUw10ev_0ba08ee649974e1baa99d0e0c8541def.jpg",Rs. 359,Rs. 899,(60% OFF),4.5,"|
135",Organic,brand
