product_id,brand,product_name,image_url,selling_price,mrp_price,discount_percent,rating,comment_count,listing_type,source_page
31014875,StyleCast,Men Tailored Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/24/tjlztGaF_822d160dea33450c94a27cc17dfdaf4c.jpg",Rs. 1462,Rs. 3849,(62% OFF),3.5,"|
2.5k",Advertisement,keyword
30026533,Urbano Fashion,Washed Denim Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/25/lkF1wtSR_79e8863aac8946f8ae2ee7656843a3c6.jpg",Rs. 1599,Rs. 3199,(50% OFF),4.3,"|
171",Advertisement,keyword
33029103,StyleCast x Revolte,Girls Solid Bomber Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/3/P18FdezI_3df2c9c0b27448e7aabf27c6712e22d6.jpg",Rs. 1699,Rs. 3399,(50% OFF),3.8,"|
20",Organic,keyword
26700650,INCLUD,Boys Hooded Tailored Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26700650/2023/12/28/43354ad2-cd3e-42c5-b861-c310a15519b91703746873915INCLUDBoysBrownLightweightQuiltedJacket1.jpg",Rs. 959,Rs. 1999,(52% OFF),4.6,"|
429",Organic,keyword
12974226,Urbano Fashion,Washed Denim Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/8/5BcK5kkZ_1535097e5c5b461184cb7a673e8ed7cd.jpg",Rs. 1299,Rs. 2399,(46% OFF),3.9,"|
1.5k",Advertisement,keyword
36039150,YK,Girls Hooded Sherpa Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/28/aI6Z77iv_f3c99d0ad53e4d3f8036386aaabfb536.jpg",Rs. 1121,Rs. 3299,(66% OFF),4.1,"|
133",Organic,keyword
36871762,A A ENTERPRISES,Woven Design Nehru Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/9/WQev2Vwd_6666232a3ab2460da023d4b2d944d45e.jpg",Rs. 885,Rs. 1999,(56% OFF),2.6,"|
18",Organic,keyword
15095368,Urbano Fashion,Men Washed Denim Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/7/jgua7IRD_b9a191b2a3434b92ab07d9dc905e8b97.jpg",Rs. 1299,Rs. 2399,(46% OFF),3.8,"|
135",Advertisement,keyword
37411473,Alan Jones,Mock Collar Tailored Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/9/ynB5fJ07_acfbc03b48724be5a50259dd48050837.jpg",Rs. 635,Rs. 1999,(68% OFF),4.5,"|
150",Organic,keyword
14468572,Decathlon,Men Non-Hooded Puffer Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14468572/2025/7/11/d495e83a-37aa-4b96-a735-1271bdcaa1161752230303780-FORCLAZ-By-Decathlon-Men-Solid-Black-Upto--0-Degrees-Non-Hoo-1.jpg",Rs. 1249,Rs. 1699,(26% OFF),4.4,"|
7.2k",Organic,keyword
26130150,Campus Sutra,Windcheater Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26130150/2023/11/29/c208c973-87ef-4844-81c7-9ee664c7f4251701256265224CampusSutraMenTanSuedeWindcheaterOutdoorBikerJacket1.jpg",Rs. 1574,Rs. 3499,(55% OFF),4,"|
3.5k",Advertisement,keyword
37884685,FOREVER FRIDAY,Boys Quilted Bomber Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/10/8wkwhNgH_9bc5601a64664e68a14144d5d2fc214d.jpg",Rs. 1175,Rs. 2799,(58% OFF),4,"|
20",Organic,keyword
36932379,FTX,Men Printed Bomber Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/12/zuX9osPq_c417a6feb7644ed2815e103f0350c92e.jpg",Rs. 570,Rs. 2330,(Rs. 1760 OFF),4.2,"|
1.2k",Organic,keyword
24515724,VERO AMORE,Windcheater Parka Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24515724/2023/8/16/cb743416-90d6-4153-b151-5b0f3c4041f61692193547496VEROAMOREWomenGreyFloralWindcheaterCropParkaJacket1.jpg",Rs. 1533,Rs. 3750,(59% OFF),4,"|
562",Advertisement,keyword
31426419,StyleCast x Revolte,Men Solid Leather Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/22/trKzNVPy_d92f225aac084e60b17dafe0dffc01a7.jpg",Rs. 2141,Rs. 5099,(58% OFF),4.1,"|
1.3k",Organic,keyword
39282182,YK,Puffer Jacket with Embroidered,,Rs. 1072,Rs. 2899,(63% OFF),,,Organic,keyword
38220111,Bershka,Striped Knitted Jacket,,Rs. 1770,Rs. 2950,(Rs. 1180 OFF),,,Advertisement,keyword
21804232,Jompers,Woven Design Nehru Jacket,,Rs. 895,Rs. 3199,(72% OFF),4.3,"|
932",Organic,keyword
39399329,HERE&NOW,Girls Pink Ethnic Jacket,,Rs. 799,Rs. 1999,(60% OFF),,,Organic,keyword
37683900,Nifty,Crop Denim Jacket,,Rs. 789,Rs. 1999,(Rs. 1210 OFF),3.8,"|
189",Advertisement,keyword
37411470,Alan Jones,Mock Collar Tailored Jacket,,Rs. 626,Rs. 1999,(69% OFF),4.5,"|
151",Organic,keyword
24293222,U.S. Polo Assn. Kids,Boys Solid Puffer Jacket,,Rs. 2034,Rs. 3699,(45% OFF),4.3,"|
297",Organic,keyword
37013299,Urbano Fashion,Men Solid Denim Jacket,,Rs. 1484,Rs. 3299,(55% OFF),3.5,"|
40",Advertisement,keyword
36039131,YK,Girls Hooded Sherpa Jacket,,Rs. 664,Rs. 1899,(65% OFF),3.1,"|
55",Organic,keyword
21804242,Jompers,Woven Design Nehru Jacket,,Rs. 895,Rs. 3199,(72% OFF),4.3,"|
933",Organic,keyword
37013306,Urbano Fashion,Men Solid Denim Jacket,,Rs. 1499,Rs. 3299,(55% OFF),3.5,"|
39",Advertisement,keyword
32941913,VASTRAMAY,Embroidered Woven Nehru Jacket,,Rs. 1899,Rs. 2499,(24% OFF),4.3,"|
104",Organic,keyword
1992582,Wintage,Nehru Jacket,,Rs. 1989,Rs. 3669,(46% OFF),4.4,"|
442",Organic,keyword
31253147,Campus Sutra,Men Solid Bomber Jacket,,Rs. 1574,Rs. 3499,(55% OFF),4,"|
524",Advertisement,keyword
36828782,TRENDY WORLD,Boys Hooded Puffer Jacket,,Rs. 763,Rs. 1798,(58% OFF),4.6,"|
34",Organic,keyword
