product_id,brand,product_name,image_url,selling_price,mrp_price,discount_percent,rating,comment_count,listing_type,source_page
22875916,Peter England Casuals,Men Tapered Fit Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22875916/2025/3/7/294b2179-bec0-4aaf-990c-04f2f8cc2ddd1741326820349-Peter-England-CasualsMen-classic-tapered-mid-stretch-Jeans-1-1.jpg",Rs. 1179,Rs. 1999,(41% OFF),4.1,"|
84",Advertisement,keyword
36719954,Urbano Juniors,Boys Loose Baggy Fit Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/16/jnKIswvw_5db9cb039c9c41d4914ee7253966ae3b.jpg",Rs. 944,Rs. 2099,(55% OFF),4.4,"|
174",Advertisement,keyword
7685988,IZOD,Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2018/10/24/c80accb0-5072-47cf-9ad6-7fa49584bdbc1540329424627-1.jpg",Rs. 2309,Rs. 3299,(30% OFF),,,Organic,keyword
39224481,H&M,Superstretch Slim Fit Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/7/trU3hEFK_f8efc88be4564279a9a5ca82ae21495a.jpg",Rs. 999,,,,,Organic,keyword
22392004,Urbano Fashion,Men Mid Rise Bootcut Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/3/i0V82nXs_43189a922ae442798e6bffa28b3890b3.jpg",Rs. 979,Rs. 1999,(51% OFF),4.1,"|
7.7k",Advertisement,keyword
30342255,Allen Solly Junior,Boys Mid-Rise Slim Fit Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/JULY/26/w8BPfZQA_0671a1bbe1b14982951f044025b5d9db.jpg",Rs. 879,Rs. 1599,(45% OFF),4.5,"|
72",Organic,keyword
38295160,H&M,Slim Fit Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/15/2NKhmxLA_50b01963e3c7450cb1e4f677247ce2f1.jpg",Rs. 799,,,4.9,"|
16",Organic,keyword
36779074,Urbano Plus,Baggy Fit Washed Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/1/pDGxAOnx_defd99fe766b4623b6a0037e3d7f1e5d.jpg",Rs. 1394,Rs. 3099,(55% OFF),4.4,"|
38",Advertisement,keyword
23290450,Urbano Fashion,Men Slim Fit Stretchable Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/16/NkIbP5Kr_95b4283568274aeba627ed6bfd44dc5b.jpg",Rs. 881,Rs. 1799,(51% OFF),4,"|
29.4k",Organic,keyword
35112510,GAP,Girls Mid-Rise Slim Fit Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/23/3yvtWQOQ_b3be5077e98c4740b2155ab36eee88bc.jpg",Rs. 999,Rs. 1999,(50% OFF),4.1,"|
26",Organic,keyword
