product_id,brand,product_name,image_url,selling_price,mrp_price,discount_percent,rating,comment_count,listing_type,source_page
34473797,bummer,Moisture-Wicking T-Shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/26/BXN75kd1_747b8c2005cc4bfa825005c0bb7feac4.jpg",Rs. 686,Rs. 999,(31% OFF),,,Advertisement,keyword
25653276,Jack & Jones,Printed Slim Fit T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25653276/2023/10/27/64319d08-fa47-47fa-a3c2-04e25980adb51698398227824JackJonesMenMaroonTypographyPrintedAppliqueSlimFitT-shirt1.jpg",Rs. 649,Rs. 999,(35% OFF),4.3,"|
218",Advertisement,keyword
31598705,Flying Machine,Pure Cotton Relaxed T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31598705/2025/2/20/fdfbd279-4e85-4890-b505-438e7ae4fe4d1740034331593-Mens-Causal-Tshirt-3471740034331143-1.jpg",Rs. 532,Rs. 1299,(59% OFF),4.2,"|
65",Organic,keyword
37299485,DAMN GUD DG,Pack of 3 Printed T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/2/ZewoaOIM_644b6493caf2487186a8149b7b98405c.jpg",Rs. 499,Rs. 1000,(50% OFF),4.1,"|
225",Organic,keyword
37796217,Jack & Jones,Men Brand Logo V-Neck T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/5/Xw8PD7DY_c2fd9f34632f429dac632236818ac9bd.jpg",Rs. 535,Rs. 799,(33% OFF),4.7,"|
30",Advertisement,keyword
22204272,HELLCAT,Boys Pack Of 3 Cotton T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22204272/2023/5/2/e4df577a-6725-43de-bac3-3c8280c24fb61683017842296-HELLCAT-Boys-Blue-Typography-3-Printed-T-shirt-5116830178418-1.jpg",Rs. 499,Rs. 3897,(Rs. 3398 OFF),4.1,"|
8.6k",Organic,keyword
35458638,DAMN GUD DG,Unisex Black Tshirts,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/7/naFWSdxw_4138a023a2ae44c58a06ae0551a3a332.jpg",Rs. 499,Rs. 1000,(50% OFF),4.1,"|
530",Organic,keyword
30850266,Puma,Men Slim Fit Polo T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30850266/2025/6/17/42d0df0b-9a7f-4df8-80ab-c8bbf7e7ce6b1750156161073-Puma-Mens-Slim-Fit-Polo-T-shirt-3801750156160589-1.jpg",Rs. 645,Rs. 1699,(62% OFF),4.3,"|
23.5k",Advertisement,keyword
39242129,Pantaloons Baby,Boys Printed Cotton Tshirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/8/4DLkwdbV_6461a6a10307485193a181d316a893c7.jpg",Rs. 399,,,,,Organic,keyword
35508616,KEESOR,Pack Of 3 Cotton Tshirts,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/8/vYCKoXza_cfa1f94121f246949a6314234173e52a.jpg",Rs. 444,Rs. 699,(36% OFF),4.3,"|
386",Organic,keyword
26701514,CULT,Do It All Performance T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26701514/2023/12/28/a5641990-f2c7-4ad6-8c22-36ae376d5bcb1703754169289PlacementPrintActiveT-shirt4.jpg",Rs. 559,Rs. 1099,(49% OFF),4.4,"|
417",Advertisement,keyword
12707018,max,Set of 5 Girls Printed T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12707018/2024/1/3/35d9275d-c33d-40fb-9706-fab40c8da7cd1704269478792-max-Girls-Set-of-5-Printed-Round-Neck-T-shirts-3331704269478-1.jpg",Rs. 679,Rs. 849,(20% OFF),4.5,"|
1.6k",Organic,keyword
